#time,accel_x,accel_y,accel_z
3238.444817,666.185348,-9992.780217,76.609550
3238.445145,888.247130,-9770.718434,-306.438199
3238.445472,814.226536,-9844.739029,-383.047749
3238.445800,740.205942,-10140.821405,0.000000
3238.446128,518.144159,-9992.780217,0.000000
3238.446455,370.102971,-9992.780217,-383.047749
3238.446783,0.000000,-9770.718434,-612.876398
3238.447110,74.020594,-10066.800811,-689.485948
3238.447438,0.000000,-10732.986159,-1302.362347
3238.447766,0.000000,-10140.821405,-689.485948
3238.448093,0.000000,-10732.986159,-612.876398
3238.448421,518.144159,-10732.986159,-459.657299
3238.448748,518.144159,-10436.903782,-689.485948
3238.449076,518.144159,-10881.027347,-536.266849
3238.449404,666.185348,-9992.780217,76.609550
3238.449731,518.144159,-9918.759623,153.219100
3238.450059,74.020594,-9622.677246,0.000000
3238.450386,74.020594,-9252.574275,-459.657299
3238.450714,0.000000,-9178.553681,-229.828649
3238.451041,0.000000,-9178.553681,-306.438199
3238.451369,0.000000,-9178.553681,-229.828649
3238.451697,222.061783,-9548.656652,153.219100
3238.452024,222.061783,-9696.697840,-842.705048
3238.452352,444.123565,-9474.636058,76.609550
3238.452679,444.123565,-9622.677246,536.266849
3238.453007,444.123565,-9548.656652,306.438199
3238.453335,370.102971,-9252.574275,306.438199
3238.453662,148.041188,-9252.574275,306.438199
3238.453990,222.061783,-9104.533087,383.047749
3238.454317,-296.082377,-8586.388927,383.047749
3238.454645,0.000000,-9104.533087,-612.876398
3238.454972,-296.082377,-8882.471304,-536.266849
3238.455300,222.061783,-9400.615463,-612.876398
3238.455628,444.123565,-9770.718434,-536.266849
3238.455955,740.205942,-10066.800811,-383.047749
3238.456283,962.267725,-9844.739029,-306.438199
3238.456610,1110.308913,-10510.924376,-459.657299
3238.456938,1036.288319,-10066.800811,383.047749
3238.457266,666.185348,-10066.800811,-229.828649
3238.457593,444.123565,-9844.739029,-383.047749
3238.457921,74.020594,-9622.677246,-536.266849
3238.458248,0.000000,-10140.821405,-766.095498
3238.458576,0.000000,-9992.780217,-995.924147
3238.458904,0.000000,-10140.821405,-1225.752797
3238.459231,0.000000,-10510.924376,-1149.143247
3238.459559,370.102971,-10436.903782,-766.095498
3238.459886,444.123565,-10288.862594,-459.657299
3238.460214,592.164754,-10658.965565,0.000000
3238.460541,518.144159,-10140.821405,0.000000
3238.460869,296.082377,-9622.677246,-383.047749
3238.461197,1036.288319,-9178.553681,0.000000
3238.461524,1036.288319,-8808.450710,459.657299
3238.461852,1628.453072,-8586.388927,76.609550
3238.462179,2368.659014,-8290.306550,0.000000
3238.462507,3182.885551,-8364.327145,-306.438199
3238.462835,4293.194464,-8956.491898,0.000000
3238.463162,5329.482782,-9696.697840,229.828649
3238.463490,6513.812290,-9770.718434,536.266849
3238.463817,7179.997637,-9696.697840,306.438199
3238.464145,8068.244768,-9474.636058,536.266849
3238.464472,8364.327145,-9622.677246,306.438199
3238.464800,7550.100608,-9770.718434,1072.533697
3238.465128,7476.080014,-9252.574275,1149.143247
3238.465455,8364.327145,-8734.430116,76.609550
3238.465783,9178.553681,-8364.327145,153.219100
3238.466110,9992.780217,-8882.471304,-306.438199
3238.466438,10510.924376,-8734.430116,0.000000
3238.466766,11103.089130,-9474.636058,0.000000
3238.467093,11695.253884,-10807.006753,0.000000
3238.467421,11103.089130,-10807.006753,-306.438199
3238.467748,11769.274478,-9252.574275,0.000000
