#time,accel_x,accel_y,accel_z
2689.877464,0.000000,-9474.636058,0.000000
2689.877791,0.000000,-9474.636058,0.000000
2689.878119,148.041188,-8734.430116,306.438199
2689.878446,518.144159,-9770.718434,1072.533697
2689.878773,666.185348,-8956.491898,689.485948
2689.879101,888.247130,-8956.491898,459.657299
2689.879428,518.144159,-9030.512492,306.438199
2689.879755,296.082377,-8956.491898,383.047749
2689.880083,0.000000,-9104.533087,0.000000
2689.880410,148.041188,-9030.512492,-153.219100
2689.880737,0.000000,-9104.533087,-383.047749
2689.881065,74.020594,-9696.697840,-995.924147
2689.881392,740.205942,-10584.944971,-766.095498
2689.881720,518.144159,-10510.924376,-459.657299
2689.882047,592.164754,-10140.821405,-383.047749
2689.882374,814.226536,-10436.903782,-306.438199
2689.882702,888.247130,-10288.862594,0.000000
2689.883029,1036.288319,-10140.821405,0.000000
2689.883356,222.061783,-9252.574275,0.000000
2689.883684,222.061783,-10214.842000,-842.705048
2689.884011,-222.061783,-10214.842000,-1225.752797
2689.884339,-370.102971,-9918.759623,-995.924147
2689.884666,0.000000,-10140.821405,-1225.752797
2689.884993,0.000000,-10362.883188,-995.924147
2689.885321,592.164754,-10436.903782,-536.266849
2689.885648,592.164754,-10066.800811,0.000000
2689.885975,592.164754,-9844.739029,0.000000
2689.886303,666.185348,-9992.780217,153.219100
2689.886630,666.185348,-9474.636058,459.657299
2689.886957,296.082377,-9400.615463,306.438199
2689.887285,0.000000,-8882.471304,229.828649
2689.887612,-296.082377,-8808.450710,153.219100
2689.887940,-444.123565,-9252.574275,229.828649
2689.888267,-296.082377,-9400.615463,153.219100
2689.888594,0.000000,-9178.553681,229.828649
2689.888922,148.041188,-9622.677246,229.828649
2689.889249,222.061783,-9474.636058,153.219100
2689.889576,814.226536,-9548.656652,612.876398
2689.889904,518.144159,-9030.512492,919.314598
2689.890231,888.247130,-9104.533087,306.438199
2689.890559,888.247130,-8882.471304,459.657299
2689.890886,740.205942,-8512.368333,76.609550
2689.891213,1184.329507,-8808.450710,0.000000
2689.891541,1776.494261,-9030.512492,-459.657299
2689.891868,2886.803174,-8956.491898,-1225.752797
2689.892195,3701.029710,-9104.533087,-919.314598
2689.892523,4219.173869,-10066.800811,-536.266849
2689.892850,5329.482782,-10510.924376,-536.266849
2689.893178,6735.874072,-10066.800811,-536.266849
2689.893505,7476.080014,-10584.944971,-306.438199
2689.893832,7994.224174,-11399.171507,-306.438199
2689.894160,8586.388927,-10955.047942,-612.876398
2689.894487,7698.141797,-10881.027347,459.657299
2689.894814,7550.100608,-10436.903782,0.000000
2689.895142,8364.327145,-9474.636058,-995.924147
2689.895469,8364.327145,-9104.533087,-995.924147
2689.895796,9326.594869,-9326.594869,-766.095498
2689.896124,10362.883188,-9326.594869,-536.266849
2689.896451,12361.439231,-9696.697840,-153.219100
2689.896779,11843.295072,-9918.759623,612.876398
2689.897106,12065.356855,-9770.718434,383.047749
2689.897433,11399.171507,-8956.491898,459.657299
2689.897761,12139.377449,-9326.594869,689.485948
2689.898088,13249.686362,-9844.739029,536.266849
2689.898415,14063.912898,-9770.718434,459.657299
2689.898743,14359.995275,-9326.594869,1532.190996
2689.899070,13989.892304,-9400.615463,766.095498
2689.899398,13101.645173,-8808.450710,1608.800546
2689.899725,11547.212695,-8660.409521,766.095498
2689.900052,11029.068536,-9252.574275,306.438199
2689.900380,10658.965565,-10140.821405,306.438199
2689.900707,9992.780217,-10214.842000,919.314598
2689.901034,8882.471304,-9622.677246,1532.190996
2689.901362,7476.080014,-9474.636058,1685.410096
2689.901689,5403.503377,-9030.512492,2298.286494
2689.902016,5181.441594,-9030.512492,0.000000
2689.902344,3552.988522,-7994.224174,-766.095498
2689.902671,3552.988522,-9252.574275,-842.705048
2689.902999,2886.803174,-9252.574275,-383.047749
2689.903326,2738.761985,-9178.553681,-229.828649
2689.903653,2738.761985,-8808.450710,-1608.800546
2689.903981,2590.720797,-9918.759623,-766.095498
2689.904308,3552.988522,-10288.862594,-1149.143247
2689.904635,4885.359217,-11325.150913,-612.876398
2689.904963,4441.235652,-11769.274478,0.000000
2689.905290,4367.215058,-12657.521608,459.657299
2689.905618,1628.453072,-11769.274478,1378.971896
2689.905945,-1184.329507,-9696.697840,842.705048
2689.906272,-2812.782580,-8364.327145,-689.485948
2689.906600,-3775.050304,-8438.347739,-1608.800546
2689.906927,-3330.926739,-9178.553681,-1378.971896
2689.907254,-2368.659014,-10140.821405,-919.314598
2689.907582,-2664.741391,-10658.965565,0.000000
2689.907909,-3849.070898,-9992.780217,0.000000
2689.908237,-4219.173869,-9474.636058,-536.266849
2689.908564,-5181.441594,-7402.059420,-1302.362347
2689.908891,-2886.803174,-8068.244768,-1991.848295
2689.909219,74.020594,-9400.615463,-1991.848295
2689.909546,1184.329507,-11325.150913,306.438199
2689.909873,1110.308913,-11695.253884,1838.629195
2689.910201,222.061783,-9992.780217,995.924147
2689.910528,-1554.432478,-8438.347739,-842.705048
2689.910855,-1850.514855,-8734.430116,-1915.238745
2689.911183,0.000000,-9844.739029,-2221.676944
2689.911510,962.267725,-9696.697840,-1302.362347
2689.911838,2368.659014,-10288.862594,842.705048
2689.912165,1776.494261,-8586.388927,2298.286494
2689.912492,74.020594,-6735.874072,2221.676944
2689.912820,-1258.350101,-7772.162391,1302.362347
2689.913147,0.000000,-9548.656652,-1378.971896
2689.913474,1184.329507,-10288.862594,-2374.896044
2689.913802,1998.556043,-10214.842000,-1378.971896
2689.914129,2516.700203,-9844.739029,-766.095498
2689.914457,1184.329507,-8660.409521,306.438199
2689.914784,0.000000,-9252.574275,842.705048
2689.915111,1480.411884,-10658.965565,-536.266849
2689.915439,3182.885551,-11991.336260,-2528.115143
2689.915766,3701.029710,-11843.295072,-1915.238745
2689.916093,2590.720797,-10140.821405,0.000000
2689.916421,3034.844362,-8438.347739,1072.533697
2689.916748,2590.720797,-8512.368333,1455.581446
2689.917075,1850.514855,-9178.553681,1378.971896
2689.917403,3627.009116,-10732.986159,153.219100
2689.917730,4737.318029,-11621.233289,-689.485948
2689.918058,4737.318029,-9992.780217,-612.876398
2689.918385,3701.029710,-9474.636058,-229.828649
2689.918712,1776.494261,-9992.780217,1149.143247
2689.919040,1406.391290,-11029.068536,995.924147
2689.919367,3256.906145,-12213.398043,-919.314598
2689.919694,3034.844362,-12731.542202,-1455.581446
2689.920022,2146.597232,-10510.924376,0.000000
2689.920349,1036.288319,-8290.306550,153.219100
2689.920677,-2368.659014,-8216.285956,1378.971896
2689.921004,-2664.741391,-9326.594869,1455.581446
2689.921331,-740.205942,-9696.697840,229.828649
2689.921659,-444.123565,-9104.533087,-1149.143247
2689.921986,148.041188,-8586.388927,-1302.362347
2689.922313,74.020594,-7624.121203,-153.219100
2689.922641,-2442.679609,-7772.162391,1762.019645
2689.922968,-3034.844362,-9992.780217,1991.848295
2689.923296,-370.102971,-11399.171507,-536.266849
2689.923623,0.000000,-11695.253884,-995.924147
2689.923950,-592.164754,-10362.883188,76.609550
2689.924278,-888.247130,-9252.574275,153.219100
2689.924605,-2886.803174,-8290.306550,459.657299
2689.924932,-3923.091493,-9548.656652,383.047749
2689.925260,-3182.885551,-10214.842000,-995.924147
2689.925587,-2960.823768,-9622.677246,-1302.362347
2689.925914,-1850.514855,-8808.450710,-689.485948
2689.926242,-1110.308913,-7254.018232,76.609550
2689.926569,-2220.617826,-7550.100608,842.705048
2689.926897,-2146.597232,-9400.615463,1302.362347
2689.927224,74.020594,-10362.883188,-383.047749
2689.927551,444.123565,-11399.171507,-1149.143247
2689.927879,370.102971,-11251.130318,-1072.533697
2689.928206,-296.082377,-9104.533087,-536.266849
2689.928533,-1628.453072,-9252.574275,-689.485948
2689.928861,-1924.535449,-11103.089130,-306.438199
2689.929188,-1184.329507,-11843.295072,-1378.971896
2689.929516,0.000000,-11177.109724,-2604.724693
2689.929843,74.020594,-9770.718434,-2068.457845
2689.930170,74.020594,-8882.471304,-1302.362347
2689.930498,-148.041188,-8956.491898,383.047749
2689.930825,888.247130,-10066.800811,306.438199
2689.931152,2960.823768,-9770.718434,-842.705048
2689.931480,4293.194464,-10140.821405,-1532.190996
2689.931807,4219.173869,-9992.780217,0.000000
2689.932134,3108.864956,-8438.347739,306.438199
2689.932462,1628.453072,-7920.203579,383.047749
2689.932789,1332.370696,-9918.759623,0.000000
2689.933117,2220.617826,-12213.398043,-995.924147
2689.933444,3701.029710,-12287.418637,-1302.362347
2689.933771,4737.318029,-10881.027347,-536.266849
2689.934099,2886.803174,-8882.471304,1302.362347
2689.934426,592.164754,-8364.327145,2298.286494
2689.934753,1110.308913,-8808.450710,1915.238745
2689.935081,2368.659014,-8956.491898,612.876398
2689.935408,2664.741391,-8438.347739,229.828649
2689.935736,2812.782580,-8882.471304,612.876398
2689.936063,2146.597232,-8512.368333,2145.067394
2689.936390,-592.164754,-8290.306550,2221.676944
2689.936718,-888.247130,-10436.903782,689.485948
2689.937045,222.061783,-12509.480420,-1838.629195
2689.937372,1406.391290,-12435.459826,-2374.896044
2689.937700,1258.350101,-9844.739029,-1149.143247
2689.938027,444.123565,-8882.471304,0.000000
2689.938354,-1184.329507,-9104.533087,2145.067394
2689.938682,-1776.494261,-9474.636058,1072.533697
2689.939009,-962.267725,-9326.594869,-612.876398
2689.939337,-222.061783,-9474.636058,-1225.752797
2689.939664,444.123565,-8956.491898,-536.266849
2689.939991,-1184.329507,-7254.018232,536.266849
2689.940319,-2812.782580,-7846.182985,536.266849
2689.940646,-2072.576638,-9252.574275,-306.438199
2689.940974,-666.185348,-11917.315666,-1532.190996
2689.941301,0.000000,-12805.562797,-1838.629195
2689.941628,148.041188,-11325.150913,-1225.752797
2689.941956,0.000000,-9474.636058,-842.705048
2689.942283,-1184.329507,-9918.759623,-229.828649
2689.942611,-1850.514855,-10214.842000,-383.047749
2689.942938,-666.185348,-10658.965565,-1991.848295
2689.943265,222.061783,-10214.842000,-1532.190996
2689.943593,222.061783,-8808.450710,-995.924147
2689.943920,-444.123565,-7772.162391,-229.828649
2689.944248,-2146.597232,-7698.141797,766.095498
2689.944575,-1628.453072,-9474.636058,-306.438199
2689.944902,-1110.308913,-10584.944971,-1225.752797
2689.945230,-592.164754,-10732.986159,-1991.848295
2689.945557,-592.164754,-8586.388927,-1149.143247
2689.945885,-1332.370696,-8364.327145,-995.924147
2689.946212,-2146.597232,-9622.677246,0.000000
2689.946539,-1258.350101,-10881.027347,-306.438199
2689.946867,296.082377,-11399.171507,-536.266849
2689.947194,666.185348,-10732.986159,-766.095498
2689.947522,740.205942,-8586.388927,-766.095498
2689.947849,0.000000,-7550.100608,-229.828649
2689.948176,-962.267725,-8512.368333,536.266849
2689.948504,296.082377,-9622.677246,612.876398
2689.948831,2516.700203,-10732.986159,0.000000
2689.949159,3552.988522,-10807.006753,536.266849
2689.949486,4293.194464,-9400.615463,459.657299
2689.949813,2516.700203,-8068.244768,1072.533697
2689.950141,1406.391290,-9030.512492,995.924147
2689.950468,1258.350101,-10436.903782,383.047749
2689.950796,2442.679609,-10362.883188,-689.485948
2689.951123,3108.864956,-11251.130318,-766.095498
2689.951450,3256.906145,-10510.924376,0.000000
2689.951778,2368.659014,-8808.450710,229.828649
2689.952105,814.226536,-10066.800811,0.000000
2689.952432,1036.288319,-11843.295072,229.828649
2689.952760,1776.494261,-11621.233289,-995.924147
2689.953087,2516.700203,-10658.965565,-536.266849
2689.953415,2220.617826,-9178.553681,153.219100
2689.953742,962.267725,-7624.121203,612.876398
2689.954069,-814.226536,-8142.265362,1532.190996
