#time,accel_x,accel_y,accel_z
3316.802206,592.164754,-9474.636058,459.657299
3316.802534,296.082377,-9326.594869,306.438199
3316.802862,148.041188,-9326.594869,76.609550
3316.803189,222.061783,-9178.553681,0.000000
3316.803517,0.000000,-8734.430116,-459.657299
3316.803845,0.000000,-9104.533087,0.000000
3316.804173,0.000000,-9474.636058,-383.047749
3316.804501,222.061783,-9548.656652,-536.266849
3316.804828,444.123565,-9918.759623,-536.266849
3316.805156,814.226536,-10288.862594,-689.485948
3316.805484,592.164754,-9770.718434,-459.657299
3316.805812,1036.288319,-9622.677246,0.000000
3316.806139,740.205942,-9474.636058,-306.438199
3316.806467,518.144159,-9770.718434,0.000000
3316.806795,296.082377,-9474.636058,-459.657299
3316.807123,74.020594,-9622.677246,-383.047749
3316.807451,0.000000,-9844.739029,-536.266849
3316.807778,0.000000,-9548.656652,-689.485948
3316.808106,370.102971,-10066.800811,-459.657299
3316.808434,148.041188,-10510.924376,-612.876398
3316.808762,370.102971,-10732.986159,-689.485948
3316.809089,518.144159,-10584.944971,-306.438199
3316.809417,814.226536,-10362.883188,0.000000
3316.809745,222.061783,-9622.677246,153.219100
3316.810073,592.164754,-9548.656652,-306.438199
3316.810401,222.061783,-8808.450710,0.000000
3316.810728,0.000000,-8512.368333,-306.438199
3316.811056,-148.041188,-9252.574275,-229.828649
3316.811384,-296.082377,-9326.594869,-383.047749
3316.811712,-222.061783,-9400.615463,-612.876398
3316.812040,74.020594,-9696.697840,-459.657299
3316.812367,444.123565,-9400.615463,153.219100
3316.812695,666.185348,-9548.656652,76.609550
3316.813023,888.247130,-9326.594869,0.000000
3316.813351,444.123565,-9474.636058,383.047749
3316.813678,74.020594,-9252.574275,229.828649
3316.814006,74.020594,-9252.574275,229.828649
3316.814334,148.041188,-9474.636058,459.657299
3316.814662,0.000000,-8734.430116,153.219100
3316.814990,296.082377,-9104.533087,-766.095498
3316.815317,74.020594,-9252.574275,-306.438199
3316.815645,148.041188,-9918.759623,-612.876398
3316.815973,370.102971,-10288.862594,-612.876398
3316.816301,814.226536,-10288.862594,-459.657299
3316.816628,1036.288319,-9918.759623,0.000000
3316.816956,1332.370696,-10214.842000,76.609550
3316.817284,518.144159,-9992.780217,76.609550
3316.817612,148.041188,-9770.718434,-306.438199
3316.817940,370.102971,-9622.677246,0.000000
3316.818267,0.000000,-9548.656652,-536.266849
3316.818595,0.000000,-9844.739029,-536.266849
3316.818923,222.061783,-9622.677246,-689.485948
3316.819251,148.041188,-10288.862594,0.000000
3316.819578,148.041188,-10066.800811,-842.705048
3316.819906,666.185348,-10140.821405,-306.438199
3316.820234,444.123565,-10362.883188,0.000000
3316.820562,444.123565,-9918.759623,0.000000
3316.820890,296.082377,-9696.697840,0.000000
3316.821217,518.144159,-9770.718434,153.219100
3316.821545,222.061783,-8956.491898,153.219100
3316.821873,0.000000,-8586.388927,229.828649
3316.822201,-222.061783,-8882.471304,-306.438199
3316.822529,0.000000,-9400.615463,-229.828649
3316.822856,0.000000,-9252.574275,-459.657299
3316.823184,222.061783,-9622.677246,-383.047749
3316.823512,444.123565,-9474.636058,-306.438199
3316.823840,1184.329507,-9030.512492,0.000000
3316.824167,1702.473667,-8808.450710,306.438199
3316.824495,2368.659014,-8734.430116,459.657299
3316.824823,2960.823768,-8586.388927,383.047749
3316.825151,3404.947333,-8586.388927,229.828649
3316.825479,3997.112087,-9178.553681,76.609550
3316.825806,4959.379811,-9252.574275,-229.828649
3316.826134,5699.585753,-9400.615463,-306.438199
3316.826462,6069.688724,-9548.656652,-766.095498
3316.826790,7772.162391,-10066.800811,-842.705048
3316.827117,7920.203579,-11029.068536,-306.438199
3316.827445,7846.182985,-11399.171507,76.609550
3316.827773,8808.450710,-10140.821405,0.000000
3316.828101,9770.718434,-9474.636058,0.000000
3316.828429,9770.718434,-8808.450710,76.609550
3316.828756,10658.965565,-9326.594869,0.000000
3316.829084,11325.150913,-9030.512492,842.705048
3316.829412,11695.253884,-9548.656652,76.609550
3316.829740,11769.274478,-10288.862594,-153.219100
3316.830067,11103.089130,-9770.718434,-689.485948
3316.830395,11103.089130,-9178.553681,-306.438199
3316.830723,12361.439231,-9474.636058,-842.705048
3316.831051,13767.830521,-11103.089130,-766.095498
3316.831379,14878.139434,-10955.047942,229.828649
3316.831706,15618.345376,-10140.821405,1685.410096
3316.832034,15840.407159,-9030.512492,1302.362347
3316.832362,14730.098246,-8438.347739,1149.143247
3316.832690,13841.851115,-8660.409521,1685.410096
3316.833018,13249.686362,-8438.347739,612.876398
3316.833345,13471.748144,-9252.574275,383.047749
3316.833673,13619.789333,-9918.759623,766.095498
3316.834001,13693.809927,-9548.656652,689.485948
3316.834329,12879.583391,-9548.656652,1072.533697
3316.834656,12435.459826,-9474.636058,1225.752797
3316.834984,12361.439231,-9474.636058,459.657299
3316.835312,11769.274478,-10214.842000,229.828649
3316.835640,11621.233289,-10288.862594,0.000000
3316.835968,9992.780217,-9400.615463,0.000000
3316.836295,7772.162391,-8142.265362,842.705048
3316.836623,7328.038826,-7402.059420,536.266849
3316.836951,7994.224174,-7920.203579,0.000000
3316.837279,8660.409521,-10066.800811,-919.314598
3316.837606,8808.450710,-11029.068536,0.000000
3316.837934,8290.306550,-11029.068536,-766.095498
3316.838262,8438.347739,-9696.697840,-153.219100
3316.838590,7994.224174,-8586.388927,0.000000
3316.838918,8364.327145,-9474.636058,459.657299
3316.839245,9252.574275,-10955.047942,536.266849
3316.839573,9104.533087,-11769.274478,689.485948
3316.839901,8734.430116,-9548.656652,-383.047749
3316.840229,7179.997637,-7698.141797,-689.485948
3316.840556,5255.462188,-9252.574275,-306.438199
3316.840884,5181.441594,-10955.047942,0.000000
3316.841212,6661.853478,-9622.677246,-1455.581446
3316.841540,8364.327145,-9104.533087,-2145.067394
3316.841868,9178.553681,-10066.800811,-919.314598
3316.842195,7328.038826,-9696.697840,1378.971896
3316.842523,5995.668130,-7328.038826,1455.581446
3316.842851,7402.059420,-8290.306550,766.095498
3316.843179,10584.944971,-11251.130318,-1608.800546
3316.843506,11695.253884,-11325.150913,-612.876398
3316.843834,11251.130318,-9400.615463,689.485948
3316.844162,10658.965565,-9400.615463,1072.533697
3316.844490,9474.636058,-10584.944971,995.924147
3316.844818,7698.141797,-8956.491898,76.609550
3316.845145,6661.853478,-6365.771101,-306.438199
3316.845473,8290.306550,-7031.956449,-842.705048
3316.845801,10658.965565,-9400.615463,-689.485948
3316.846129,11177.109724,-9844.739029,1532.190996
3316.846457,10955.047942,-9178.553681,2911.162892
3316.846784,11547.212695,-7476.080014,1991.848295
3316.847112,11029.068536,-7550.100608,459.657299
3316.847440,11177.109724,-8808.450710,76.609550
3316.847768,12953.603985,-9696.697840,-995.924147
3316.848095,13767.830521,-10066.800811,-842.705048
3316.848423,11621.233289,-11399.171507,919.314598
3316.848751,9474.636058,-10955.047942,2374.896044
3316.849079,9474.636058,-9474.636058,1302.362347
3316.849407,8808.450710,-10214.842000,-842.705048
3316.849734,7105.977043,-11843.295072,-1685.410096
3316.850062,7476.080014,-10732.986159,-1915.238745
3316.850390,6883.915261,-9696.697840,0.000000
3316.850718,6217.729913,-8438.347739,2451.505594
3316.851045,5033.400406,-6661.853478,1225.752797
3316.851373,1998.556043,-8586.388927,842.705048
3316.851701,1184.329507,-9548.656652,0.000000
3316.852029,4811.338623,-8660.409521,-2911.162892
3316.852357,5033.400406,-10955.047942,-2757.943793
3316.852684,5329.482782,-11843.295072,76.609550
3316.853012,7031.956449,-11991.336260,383.047749
3316.853340,6513.812290,-13027.624579,0.000000
3316.853668,6809.894666,-13619.789333,0.000000
3316.853995,5403.503377,-11695.253884,-153.219100
3316.854323,3108.864956,-9918.759623,153.219100
3316.854651,666.185348,-8882.471304,612.876398
