#time,accel_x,accel_y,accel_z
3159.285665,814.226536,-9770.718434,0.000000
3159.285992,814.226536,-9400.615463,306.438199
3159.286320,666.185348,-8882.471304,229.828649
3159.286647,740.205942,-9622.677246,229.828649
3159.286975,888.247130,-9548.656652,-153.219100
3159.287302,222.061783,-9326.594869,-459.657299
3159.287630,0.000000,-9474.636058,-766.095498
3159.287957,-222.061783,-9622.677246,-842.705048
3159.288285,74.020594,-9844.739029,-995.924147
3159.288612,148.041188,-10658.965565,-689.485948
3159.288940,518.144159,-10436.903782,-1302.362347
3159.289267,666.185348,-10584.944971,-383.047749
3159.289595,814.226536,-10436.903782,-306.438199
3159.289922,666.185348,-10140.821405,-153.219100
3159.290250,444.123565,-9992.780217,0.000000
3159.290577,74.020594,-9696.697840,-229.828649
3159.290905,0.000000,-9474.636058,-306.438199
3159.291233,0.000000,-9992.780217,-766.095498
3159.291560,74.020594,-9622.677246,0.000000
3159.291888,0.000000,-9844.739029,-306.438199
3159.292215,296.082377,-10140.821405,-689.485948
3159.292543,370.102971,-9918.759623,-229.828649
3159.292870,518.144159,-10066.800811,76.609550
3159.293198,666.185348,-9622.677246,0.000000
3159.293525,888.247130,-9992.780217,-459.657299
3159.293853,296.082377,-9178.553681,1149.143247
3159.294180,0.000000,-8882.471304,459.657299
3159.294508,0.000000,-8956.491898,76.609550
3159.294835,-296.082377,-8956.491898,229.828649
3159.295163,-296.082377,-9104.533087,153.219100
3159.295490,-296.082377,-9252.574275,612.876398
3159.295818,148.041188,-9548.656652,0.000000
3159.296145,74.020594,-9326.594869,153.219100
3159.296473,148.041188,-9474.636058,0.000000
3159.296800,740.205942,-9622.677246,0.000000
3159.297128,666.185348,-9474.636058,229.828649
3159.297456,444.123565,-9474.636058,153.219100
3159.297783,518.144159,-9252.574275,0.000000
3159.298111,0.000000,-8956.491898,0.000000
3159.298438,74.020594,-9474.636058,0.000000
3159.298766,0.000000,-9474.636058,-995.924147
3159.299093,-296.082377,-9844.739029,-842.705048
3159.299421,74.020594,-10140.821405,-1149.143247
3159.299748,148.041188,-10584.944971,-995.924147
