#time,accel_x,accel_y,accel_z
2807.962713,0.000000,-8512.368333,306.438199
2807.963041,0.000000,-8734.430116,306.438199
2807.963369,148.041188,-9030.512492,153.219100
2807.963696,-444.123565,-9178.553681,-306.438199
2807.964024,0.000000,-9030.512492,-766.095498
2807.964352,74.020594,-9326.594869,76.609550
2807.964680,592.164754,-9474.636058,0.000000
2807.965007,518.144159,-9474.636058,153.219100
2807.965335,814.226536,-9474.636058,153.219100
2807.965663,444.123565,-9178.553681,383.047749
2807.965991,814.226536,-9326.594869,0.000000
2807.966318,370.102971,-9030.512492,229.828649
2807.966646,0.000000,-9104.533087,0.000000
2807.966974,-370.102971,-9474.636058,0.000000
2807.967302,-222.061783,-9696.697840,-842.705048
2807.967630,0.000000,-10510.924376,-1072.533697
2807.967957,148.041188,-10436.903782,-1072.533697
2807.968285,370.102971,-10584.944971,-766.095498
2807.968613,296.082377,-10436.903782,-1225.752797
2807.968941,1036.288319,-10362.883188,-1149.143247
2807.969268,592.164754,-10140.821405,-459.657299
2807.969596,518.144159,-9918.759623,-306.438199
2807.969924,296.082377,-10140.821405,-536.266849
2807.970252,74.020594,-9844.739029,-689.485948
2807.970580,222.061783,-9770.718434,-995.924147
2807.970907,-148.041188,-9918.759623,-1532.190996
2807.971235,148.041188,-10658.965565,-766.095498
2807.971563,0.000000,-10214.842000,-612.876398
2807.971891,148.041188,-10140.821405,-383.047749
2807.972218,222.061783,-10140.821405,0.000000
2807.972546,592.164754,-9992.780217,306.438199
2807.972874,814.226536,-9770.718434,459.657299
2807.973202,666.185348,-9474.636058,689.485948
2807.973529,740.205942,-8956.491898,689.485948
2807.973857,296.082377,-8586.388927,536.266849
2807.974185,0.000000,-8512.368333,306.438199
2807.974513,0.000000,-8808.450710,153.219100
2807.974841,0.000000,-8734.430116,0.000000
2807.975168,148.041188,-8956.491898,-689.485948
2807.975496,592.164754,-8882.471304,229.828649
2807.975824,1332.370696,-8882.471304,0.000000
2807.976152,1702.473667,-9178.553681,306.438199
2807.976479,2516.700203,-9252.574275,536.266849
2807.976807,3552.988522,-8586.388927,229.828649
2807.977135,4145.153275,-8586.388927,0.000000
2807.977463,4441.235652,-9474.636058,0.000000
2807.977791,4885.359217,-9696.697840,76.609550
2807.978118,5551.544565,-9104.533087,-1149.143247
2807.978446,6365.771101,-9844.739029,-612.876398
2807.978774,7328.038826,-11103.089130,-612.876398
2807.979102,8512.368333,-11695.253884,-766.095498
2807.979429,8290.306550,-11769.274478,0.000000
2807.979757,8882.471304,-10584.944971,0.000000
2807.980085,9400.615463,-9696.697840,-229.828649
2807.980413,9178.553681,-9474.636058,0.000000
2807.980740,9918.759623,-8882.471304,0.000000
2807.981068,11103.089130,-9326.594869,0.000000
2807.981396,11251.130318,-9770.718434,306.438199
2807.981724,11177.109724,-9918.759623,0.000000
2807.982052,10881.027347,-9844.739029,-536.266849
2807.982379,9918.759623,-9326.594869,-536.266849
2807.982707,11473.192101,-9400.615463,-1225.752797
2807.983035,13249.686362,-10807.006753,-383.047749
2807.983363,14359.995275,-10658.965565,459.657299
2807.983690,15470.304188,-9992.780217,1838.629195
2807.984018,15618.345376,-8734.430116,1838.629195
2807.984346,14359.995275,-8290.306550,1378.971896
2807.984674,13397.727550,-8660.409521,2221.676944
2807.985002,12879.583391,-8808.450710,1302.362347
2807.985329,12065.356855,-9178.553681,76.609550
2807.985657,11917.315666,-9696.697840,229.828649
2807.985985,11769.274478,-8956.491898,76.609550
2807.986313,10807.006753,-8734.430116,1149.143247
2807.986640,9844.739029,-9474.636058,2145.067394
2807.986968,9548.656652,-9326.594869,766.095498
2807.987296,8660.409521,-9992.780217,0.000000
2807.987624,7402.059420,-10584.944971,612.876398
2807.987951,5995.668130,-9178.553681,306.438199
2807.988279,4367.215058,-7994.224174,612.876398
2807.988607,2960.823768,-8512.368333,689.485948
2807.988935,3034.844362,-9252.574275,0.000000
2807.989263,3997.112087,-9696.697840,-1302.362347
2807.989590,4071.132681,-10510.924376,-383.047749
2807.989918,3182.885551,-11843.295072,-306.438199
2807.990246,1850.514855,-10955.047942,-306.438199
2807.990574,592.164754,-9622.677246,-689.485948
2807.990901,740.205942,-8586.388927,-1149.143247
2807.991229,2442.679609,-8734.430116,-1072.533697
2807.991557,4071.132681,-10732.986159,1149.143247
2807.991885,4145.153275,-11843.295072,1991.848295
2807.992212,2368.659014,-11695.253884,766.095498
2807.992540,-222.061783,-10066.800811,-766.095498
2807.992868,-2368.659014,-8438.347739,-2374.896044
2807.993196,-2368.659014,-9252.574275,-2681.334243
2807.993524,-1998.556043,-10362.883188,-1838.629195
2807.993851,-666.185348,-10658.965565,153.219100
2807.994179,0.000000,-9326.594869,306.438199
2807.994507,-518.144159,-8660.409521,229.828649
2807.994835,-2442.679609,-8068.244768,536.266849
2807.995162,-3701.029710,-8586.388927,995.924147
2807.995490,-2960.823768,-9548.656652,-689.485948
2807.995818,-1776.494261,-9844.739029,-2528.115143
2807.996146,-444.123565,-8660.409521,-1915.238745
2807.996474,-370.102971,-7698.141797,-383.047749
2807.996801,-1184.329507,-8586.388927,1685.410096
2807.997129,-2368.659014,-10807.006753,1302.362347
2807.997457,-1850.514855,-10881.027347,-1149.143247
2807.997785,-444.123565,-9918.759623,-3294.210641
2807.998112,1110.308913,-8290.306550,-2834.553343
2807.998440,1110.308913,-7624.121203,0.000000
2807.998768,1998.556043,-9326.594869,2221.676944
2807.999096,2590.720797,-10807.006753,2374.896044
2807.999423,2886.803174,-8734.430116,0.000000
2807.999751,3034.844362,-7105.977043,-1532.190996
2808.000079,2960.823768,-8512.368333,-1532.190996
2808.000407,2146.597232,-10214.842000,0.000000
2808.000735,1998.556043,-10658.965565,76.609550
2808.001062,1850.514855,-9474.636058,-612.876398
2808.001390,3404.947333,-9844.739029,-2145.067394
2808.001718,4145.153275,-10807.006753,-1532.190996
2808.002046,3256.906145,-11769.274478,306.438199
2808.002373,2368.659014,-12731.542202,689.485948
2808.002701,2960.823768,-11473.192101,-153.219100
2808.003029,3182.885551,-8734.430116,-1838.629195
2808.003357,1184.329507,-8142.265362,0.000000
2808.003685,1110.308913,-9918.759623,1302.362347
2808.004012,1036.288319,-10288.862594,1072.533697
2808.004340,1554.432478,-9844.739029,-459.657299
2808.004668,1776.494261,-9104.533087,-1378.971896
2808.004996,1036.288319,-8882.471304,-383.047749
2808.005323,148.041188,-10140.821405,995.924147
2808.005651,444.123565,-11843.295072,612.876398
2808.005979,1332.370696,-11769.274478,-306.438199
2808.006307,1924.535449,-9992.780217,-1072.533697
2808.006634,888.247130,-9178.553681,612.876398
2808.006962,-370.102971,-10436.903782,1838.629195
2808.007290,-666.185348,-11251.130318,1532.190996
2808.007618,-1406.391290,-8290.306550,459.657299
2808.007946,-1036.288319,-6587.832884,-306.438199
2808.008273,-1776.494261,-7476.080014,-306.438199
2808.008601,-2738.761985,-8808.450710,995.924147
2808.008929,-2220.617826,-9844.739029,995.924147
2808.009257,-1628.453072,-9918.759623,0.000000
2808.009584,-444.123565,-8290.306550,-689.485948
2808.009912,-518.144159,-8660.409521,-383.047749
2808.010240,-1554.432478,-10658.965565,1762.019645
2808.010568,-1036.288319,-11621.233289,919.314598
2808.010895,-962.267725,-10510.924376,-306.438199
